ID,GEO_POINT_2D,GEO_SHAPE,ENTE,CODICE,ORDINANZA,STATO,AREA,CODARCO1,NOMEVIA1,CODARCO2,NOMEVIA2,CODARCO3,NOMEVIA3,CODARCO4,NOMEVIA4,CODARCO5,NOMEVIA5,CODARCO6,NOMEVIA6,CODARCO7,NOMEVIA7,IIDD,TIPOZTL
21,"44.4927615629, 11.3421775577","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.341728000525046, 44.49376174990127], [11.341819003262616, 44.49374574948713], [11.341798002960259, 44.4936907477129], [11.34197200823108, 44.493653746716596], [11.342210015443268, 44.49360274534108], [11.342214015497827, 44.49361374569578], [11.342283017584421, 44.493599745321966], [11.342352019811678, 44.49356074415141], [11.342309019212683, 44.493444740409814], [11.34223701821916, 44.49324873408892], [11.342166017074259, 44.493084728789185], [11.342145016833832, 44.49301872666436], [11.342107016390607, 44.49290072286505], [11.3420890163385, 44.492816720169934], [11.342106016850352, 44.49281372009188], [11.342073016608621, 44.49268571597935], [11.342055016472093, 44.49261671376227], [11.342031016267505, 44.492528710933684], [11.342009016104218, 44.49244370820279], [11.342252023339192, 44.492415707560205], [11.342453029317385, 44.49239370706548], [11.342473029506008, 44.4924637093169], [11.342490029337077, 44.49258171309506], [11.342511029093176, 44.49273371796098], [11.342460027563074, 44.49274171816331], [11.342468027525928, 44.49278971970131], [11.342490027738814, 44.49286572214617], [11.3425500283037, 44.493075728901196], [11.342569028485277, 44.49314173102446], [11.342560028212024, 44.49314373107884], [11.342573028342763, 44.493187732494704], [11.34258402867422, 44.4931857324424], [11.342620029074638, 44.493300736145216], [11.342688029921831, 44.49350174262267], [11.342798033816106, 44.49337873881704], [11.342785033725093, 44.49332773717786], [11.342795034027425, 44.493325737124515], [11.342781033884744, 44.493278735611774], [11.342771033588043, 44.49327973563323], [11.342761033511044, 44.49324173441155], [11.342770033778661, 44.493240734389055], [11.342757033665036, 44.493193732877394], [11.342747033362688, 44.493195732930744], [11.342736033262176, 44.4931567316762], [11.342746033558905, 44.493155731654745], [11.342733033439602, 44.49310973017498], [11.342723033142855, 44.493110730196456], [11.342712033031047, 44.49307372900569], [11.342721033304318, 44.49307172895129], [11.342708033190595, 44.4930247274397], [11.342699032922948, 44.49302572746224], [11.342688032811097, 44.49298872627153], [11.34269703307875, 44.49298772624899], [11.34268403296498, 44.49294072473748], [11.342675032697311, 44.49294172475999], [11.342664032579789, 44.492905723601176], [11.34267303285309, 44.49290372354674], [11.342660032744904, 44.49285572200337], [11.342650032442474, 44.49285772205673], [11.34264003235965, 44.492820720867115], [11.342649032627346, 44.492819720844565], [11.342636032513473, 44.4927727193331], [11.342626032216659, 44.49277371935464], [11.342616032133805, 44.49273671816504], [11.34262503240151, 44.49273571814245], [11.342611032264092, 44.49268771659815], [11.34260203199075, 44.49268971665257], [11.342592031907856, 44.49265271546299], [11.342600032146457, 44.492651715439386], [11.34258803205035, 44.492606713992785], [11.342579031782613, 44.49260771401536], [11.342568031687453, 44.492567712729205], [11.342576031926068, 44.49256671270556], [11.34256303181204, 44.4925197111942], [11.342554031544301, 44.49252071121683], [11.342544031455699, 44.492484710059195], [11.342552031699956, 44.49248271000368], [11.34254003159813, 44.49243870858899], [11.342530031295606, 44.49244070864247], [11.342523031238066, 44.492414707806624], [11.342508030789917, 44.49241670785498], [11.342498030678748, 44.49238470682485], [11.34248503052519, 44.49234470553672], [11.342163020876214, 44.49239270673591], [11.342164020871621, 44.492398706928135], [11.341980015422445, 44.49241470724901], [11.34193401485754, 44.49227670280504], [11.341892014331073, 44.492152698812504], [11.341878014434705, 44.492061695899906], [11.34188901476082, 44.492060695879275], [11.341878828424624, 44.49189526337677], [11.341890412216554, 44.49176276523363], [11.341898412448424, 44.491762765240125], [11.341835017109913, 44.49136267359394], [11.34166701225078, 44.491355673202854], [11.341677012250393, 44.49140767486881], [11.341721012353883, 44.491617681600445], [11.34173601237551, 44.491691683972185], [11.341750012412858, 44.49175768608817], [11.341783012453302, 44.49192169134448], [11.341831012559565, 44.49215169871836], [11.34187001311684, 44.492254702038714], [11.341912013346398, 44.49243170772079], [11.341938013441068, 44.492549711507046], [11.341959013530387, 44.492642714491716], [11.341970013760864, 44.49265871501283], [11.34197301385384, 44.49265771498405], [11.342001014028918, 44.49277171864515], [11.342027014179328, 44.49287972211312], [11.342015013661424, 44.49290972305657], [11.342089014821441, 44.49308672877293], [11.342154015741395, 44.49325973435298], [11.342178016063384, 44.49332673651287], [11.34221901636852, 44.49348474159039], [11.341975009082176, 44.49351774238663], [11.341782003319633, 44.493543743013014], [11.341730001767099, 44.49355074318157], [11.341686000419342, 44.493562743517806], [11.341738001320987, 44.49367174704463], [11.341728000525046, 44.49376174990127]]]]}",,43,4000/343434,A,4000,7720,VIA D'AZEGLIO,1230,VIA QUATTRO NOVEMBRE,1152,VIA DE' PIGNATTARI,1270,VIA DE' PIGNATTARI,1213,VIA DE' FUSARI,1112,VICOLO COLOMBINA,1080,VIA D'AZEGLIO,17,Aree Pedonali
22,"44.4931808598, 11.3406446302","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.340505968799564, 44.49307572677845], [11.340572969577222, 44.4932857335337], [11.340766975386053, 44.49325673281256], [11.340766256009097, 44.49311960904728], [11.340505968799564, 44.49307572677845]]]]}",,,4000/343434,A,383,,PIAZZA GALILEO,,,,,,,,,,,,,26,Aree Pedonali
23,"44.4902983424, 11.3446249264","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.344519106079387, 44.490049483636064], [11.344554106634165, 44.49018347407933], [11.344565106782701, 44.490232470664964], [11.344573106902097, 44.49026546826781], [11.34458510708023, 44.4903154645985], [11.344644107962047, 44.490564445511616], [11.344726110662625, 44.49054343614386], [11.344708110391995, 44.49046544253099], [11.344655109601929, 44.49023846037331], [11.344628109250507, 44.4901124694939], [11.344614109065809, 44.490048474022814], [11.344519106079387, 44.490049483636064]]]]}",,,4000/343434,A,399,,,,,,,,,,,,,,,33,Aree Pedonali
24,"44.4958371649, 11.3461806821","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.345803110445347, 44.49604317421252], [11.345872112824225, 44.49601216236989], [11.34591111435533, 44.49596815305108], [11.345977116475463, 44.495961143781244], [11.346062119142761, 44.4959611327218], [11.34620812370277, 44.495964114038394], [11.346224123753126, 44.49602711855276], [11.34623712379462, 44.496078122235105], [11.346249123761035, 44.496135126705674], [11.346268123679435, 44.496229134244544], [11.34628412418649, 44.496228132155075], [11.346286124169755, 44.496239133074276], [11.346349126152072, 44.4962371250639], [11.346361127323412, 44.49612711171754], [11.346370128119487, 44.49605610291037], [11.346367128300775, 44.49601809919151], [11.346402129412564, 44.49601609446576], [11.346392129345782, 44.495982092063976], [11.346335128909264, 44.49579507940076], [11.346345129245623, 44.495792077739154], [11.346325129172373, 44.495715072179834], [11.346441133016627, 44.495689053580655], [11.346430132888198, 44.495659051798256], [11.346420132776432, 44.4956310501116], [11.346350130466535, 44.49564506125562], [11.346299128785693, 44.49565506932521], [11.346261128241412, 44.49556406493275], [11.346224127015365, 44.49557207092145], [11.34619912665522, 44.49551206815075], [11.346180126390474, 44.495465065945915], [11.346154125817563, 44.49543006601699], [11.3461121250854, 44.495346063415774], [11.345979120686268, 44.495372085173], [11.346004120561199, 44.49550209453514], [11.346058122268595, 44.49550208694042], [11.34605812245985, 44.495475084216785], [11.34613612504829, 44.495458071452944], [11.34618912580987, 44.495586077242116], [11.346276126836846, 44.495825090478476], [11.346108121346964, 44.49585411582021], [11.34608012046677, 44.49585411953209], [11.345928115372834, 44.49589914408735], [11.3458241120085, 44.495913159103914], [11.345817111983498, 44.495885157352696], [11.345778110695695, 44.49589416334507], [11.345803110445347, 44.49604317421252]]]]}",,10,4000/343434,A,1333,1422,VICOLO MANDRIA,1410,VIA GUGLIELMO OBERDAN,1409,VIA S.SIMONE,7990,VIA S.SIMONE,8953,VIA GUGLIELMO OBERDAN,,,,,36,Aree Pedonali
25,"44.4950244187, 11.3463022155","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.346120126427701, 44.49519304661033], [11.346148127374546, 44.49518504165026], [11.346137127317041, 44.495144039067135], [11.346108126963479, 44.495064035222164], [11.346442138058828, 44.495000977979956], [11.346487139551815, 44.49499297024782], [11.346619144092209, 44.49494794502219], [11.34660114372413, 44.494919944609265], [11.346395136727484, 44.49497798263257], [11.346310133872498, 44.494997997742544], [11.346218130839189, 44.4950120132094], [11.346060125604911, 44.495040040033324], [11.346120126427701, 44.49519304661033]]]]}",,34,4000/343434,A,196,5256,VICOLO S.GIOBBE,5255,VICOLO S.GIOBBE,,,,,,,,,,,40,Aree Pedonali
26,"44.4950718343, 11.3437308742","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.343810054277913, 44.495380694081284], [11.343867056218702, 44.49536268499875], [11.343822055497123, 44.49524268551991], [11.343773054731093, 44.49510768615924], [11.343742054246462, 44.4950216866922], [11.343725054014504, 44.49496868675994], [11.343698053661038, 44.49488168682056], [11.343672053313727, 44.49479868701669], [11.343601050951497, 44.49480869858836], [11.343628051298483, 44.49489769837918], [11.34364405160845, 44.49493269750019], [11.3436800522247, 44.49502469623018], [11.343707052630794, 44.49510269579979], [11.343738053535475, 44.49511869192021], [11.34376005358449, 44.49522869393055], [11.343810054277913, 44.495380694081284]]]]}",,32,4000/343434,A,313,1281,VIA FOSSALTA,,,,,,,,,,,,,41,Aree Pedonali
39,"44.4934168647, 11.3518294293","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.35179920588493, 44.493805739662726], [11.352003366916387, 44.49379678175872], [11.351931109928813, 44.49352662015592], [11.351919694169334, 44.493477366440985], [11.351898738035983, 44.49334731958236], [11.351877372316501, 44.49305196747294], [11.351693473817251, 44.4929938424523], [11.35169977831822, 44.493191263673225], [11.35179920588493, 44.493805739662726]]]]}",,,,,,,,,,,,,,,,,,,,,Aree Pedonali
40,"44.4976950518, 11.3476459696","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.347623764975593, 44.498007721736464], [11.34770087218452, 44.497970063038196], [11.347594539686176, 44.49783272650356], [11.347658200622039, 44.49765133763808], [11.347799900184103, 44.497616800694594], [11.347922566640774, 44.49757816719692], [11.347964366548279, 44.49756327960174], [11.348046207625279, 44.497485488025234], [11.347978111685448, 44.49747343586783], [11.347916769922442, 44.497551279066734], [11.347648178425828, 44.4975975286876], [11.347619734593433, 44.497448086824534], [11.347548230751965, 44.49742121683076], [11.34755100176711, 44.49757218437406], [11.347501928880934, 44.497797514124095], [11.347530085146085, 44.49793179061163], [11.347623764975593, 44.498007721736464]]]]}",,,,,,,,,,,,,,,,,,,,,Aree Pedonali
41,"44.4888035819, 11.3548583454","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.35505347757384, 44.48883565170837], [11.355028633881927, 44.48879965448872], [11.354971687399521, 44.48881899547478], [11.354887028194138, 44.48869061900182], [11.354697352605726, 44.488753384158805], [11.354812928276056, 44.48891236057011], [11.35505347757384, 44.48883565170837]]]]}",,,,,,,,,,,,,,,,,,,,,Aree Pedonali
42,"44.4956927458, 11.331639334","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.32862461084954, 44.49557279136074], [11.328810616157737, 44.495574791784286], [11.328834684339386, 44.49573288612588], [11.328904856137598, 44.49585897281115], [11.328964348465837, 44.495843298705154], [11.328964348465837, 44.495843298705154], [11.328886970110402, 44.495627072841756], [11.328849399634802, 44.4954609665079], [11.32908762467752, 44.49546078872022], [11.329085624515242, 44.495480789348065], [11.329153626428347, 44.49548678966918], [11.329213628007494, 44.495512790606604], [11.329690641621774, 44.49551779168805], [11.329726744990877, 44.49559377685406], [11.329813862106299, 44.495571074593705], [11.329794164307858, 44.49548425009667], [11.330235657333727, 44.49549379198446], [11.330240657550704, 44.49547979155156], [11.330580667263291, 44.49548179227271], [11.330795673374668, 44.49548879291022], [11.33079567328458, 44.49550579344793], [11.330999679107734, 44.495507793906086], [11.331023679268842, 44.495606797084484], [11.331038679336974, 44.49567479926482], [11.331051679374958, 44.495737801282075], [11.331074679682018, 44.495805803458346], [11.331103680136664, 44.49587880579936], [11.331123680457278, 44.49592780737135], [11.331147680936429, 44.49596880869465], [11.331167681325947, 44.49600480985542], [11.331157680918828, 44.496026810540556], [11.33120368183472, 44.49610581309019], [11.331279683371474, 44.49623181715988], [11.331310683984011, 44.496285818901825], [11.331336684514744, 44.496327820257946], [11.331353684864206, 44.49635482113007], [11.331378685371163, 44.49639582245356], [11.331438686600439, 44.49649182555431], [11.331469687233309, 44.49654182716912], [11.331506688040193, 44.49659182879062], [11.331549688978376, 44.49664983067179], [11.331585689761372, 44.496698832260805], [11.331613690376233, 44.49673583346162], [11.331650691177398, 44.496786835115124], [11.331692692091469, 44.49684383696397], [11.331729692897763, 44.49689383858609], [11.331756693515379, 44.496924839596325], [11.33180169445204, 44.49699384182828], [11.331856695662534, 44.49706584416644], [11.331912696891123, 44.49713984656917], [11.33201069904866, 44.49726785072704], [11.332052699967003, 44.49732385254536], [11.332129701573601, 44.49744085633254], [11.332183703240906, 44.49742185579225], [11.331983698998304, 44.497130846363866], [11.331960698513061, 44.497096845262845], [11.331904697321912, 44.49701584263871], [11.331841695986256, 44.49692383965917], [11.33181569545649, 44.4968818383021], [11.33176369440212, 44.49679683555652], [11.331665692445402, 44.49663083019914], [11.331555690086233, 44.49647482514556], [11.331507689072117, 44.496403822848116], [11.331453687921012, 44.496325820322916], [11.331406687020415, 44.49623881752028], [11.331380686504989, 44.496193816067944], [11.33134268577936, 44.49612281377983], [11.331285684666696, 44.49602081049029], [11.331266684285099, 44.49598880945705], [11.331245683861333, 44.49595380832681], [11.331214682918812, 44.49596180854616], [11.331185682326428, 44.49591480702755], [11.331217683303333, 44.49590580677763], [11.331168682310702, 44.49582480416159], [11.33114168219028, 44.495699800177526], [11.331101681002101, 44.49570480029231], [11.331079680830193, 44.495616797484416], [11.331062680845864, 44.49552079442887], [11.331387690169056, 44.49554279547647], [11.331387690259433, 44.49552579493854], [11.331477692857662, 44.495528795130824], [11.331624697100864, 44.495533795448004], [11.331845703472101, 44.4955427959719], [11.331976707250451, 44.49554779627189], [11.332051709423556, 44.49554879638468], [11.332179713130733, 44.49555079658647], [11.332214714147334, 44.495550796624364], [11.33232871744785, 44.495552796811005], [11.332352718144948, 44.49555279683697], [11.332615725767887, 44.49555579721651], [11.332675727510624, 44.49555579728143], [11.332756729857959, 44.495556797400766], [11.332882733506965, 44.49555879760042], [11.332939734111262, 44.49575480386933], [11.332959457040692, 44.49580575930167], [11.33298973472625, 44.49591080886416], [11.333018735074566, 44.496002811809454], [11.333033735257805, 44.49604981331436], [11.333051735490528, 44.49610381504423], [11.333068735704897, 44.49615581670975], [11.33311573642481, 44.49627582056167], [11.333144736992217, 44.49632682220795], [11.33327073977187, 44.49648982750671], [11.333378742222022, 44.49661683164678], [11.333463744154995, 44.496715834875474], [11.333543745958655, 44.49681183800402], [11.333635748034506, 44.49692184158972], [11.33367474923586, 44.496908841221355], [11.33360474766893, 44.49682283842003], [11.333500745336183, 44.49669583428308], [11.333355742082269, 44.496518828518454], [11.333198738796108, 44.49628282087414], [11.333123737440998, 44.496129815946325], [11.33310773719131, 44.49608981466197], [11.333075736681069, 44.496011812156624], [11.333040736126517, 44.495925809394755], [11.332988735491277, 44.49576280417588], [11.332972735332438, 44.49570580235331], [11.332931734935558, 44.49555779762178], [11.33303573794556, 44.495559797797625], [11.333124740525236, 44.49556079792562], [11.333350747062612, 44.49556579832855], [11.333509751664664, 44.49556879859565], [11.33351475165383, 44.4955977995198], [11.333631755030469, 44.495601799773205], [11.333630755179131, 44.49556879872662], [11.333736758257924, 44.49556879884133], [11.333896762894353, 44.49557079907787], [11.334002765962344, 44.49557279925597], [11.334060767490412, 44.49560180023775], [11.334103768733911, 44.49560280031597], [11.334460272343968, 44.49559546899734], [11.334832981102561, 44.49649071526721], [11.335016068423391, 44.4964300677972], [11.334650294991393, 44.49560474510422], [11.33458517674758, 44.49550893005514], [11.333947423207546, 44.49551145899267], [11.333947423363373, 44.49548245807368], [11.333442078418665, 44.49547551979282], [11.333008480345054, 44.49546831836016], [11.332926269404954, 44.49545914312917], [11.332860267509977, 44.49545914305825], [11.332746264258208, 44.49545514280915], [11.332660261794322, 44.49545414268514], [11.33262226064451, 44.49546514299265], [11.332432255151947, 44.49547214301023], [11.332395254084295, 44.49547314300214], [11.332345252654049, 44.49547214291678], [11.332275250649586, 44.49547114280992], [11.332178950527554, 44.49547858814869], [11.332075947569589, 44.495475587944966], [11.332014945818957, 44.49547358781724], [11.331951944005286, 44.49547258771907], [11.331888942191608, 44.495471587620905], [11.331756938380456, 44.49547158748153], [11.331562932784482, 44.49547058724505], [11.331492930784504, 44.49546658704457], [11.331351640157946, 44.495462425523684], [11.331261686913011, 44.495466792935524], [11.331057505592817, 44.49545487819526], [11.33097868084098, 44.495067779946275], [11.330932680564338, 44.494871773657614], [11.330858679984171, 44.49458176434244], [11.330822679648087, 44.49445076013001], [11.330811679529303, 44.49441375893872], [11.330767678910872, 44.49429275502764], [11.330705677098798, 44.494299755130974], [11.330744677547793, 44.494425759190435], [11.33077167787031, 44.49451076193042], [11.330856678384395, 44.494872773543364], [11.330879678464658, 44.49498177703539], [11.330917678629246, 44.49515578261257], [11.330939678717675, 44.49525778588157], [11.330992523439676, 44.49544719430033], [11.330847305616574, 44.49543403320199], [11.330673300728915, 44.49542303253925], [11.330479295222458, 44.49542203215661], [11.330472295175033, 44.495392031195415], [11.330359291929325, 44.495399031212365], [11.330362291898517, 44.495422031944926], [11.330291289876381, 44.49542303184806], [11.330289289930512, 44.49540103114898], [11.33020728759582, 44.49540203103227], [11.330209287531652, 44.49542603179454], [11.330156286010823, 44.4954290317935], [11.330152286013098, 44.49540603105924], [11.32909208729099, 44.49539485333108], [11.3291000878957, 44.49531885094519], [11.328771078616617, 44.49530184982257], [11.328863942919465, 44.49481234351567], [11.328732753104301, 44.49480277555287], [11.3286640302327, 44.495087466966076], [11.328584670446887, 44.49507436748232], [11.3285426102495, 44.49523978068851], [11.3285456101886, 44.49526778157829], [11.328532609381904, 44.49535078417362], [11.328591611043159, 44.49535578444547], [11.328566609521145, 44.49550978925929], [11.328541521129232, 44.49557568596763], [11.32862461084954, 44.49557279136074]]]]}",,69,4000/343434,A,8262,948,VIA DEL PRATELLO,,,,,,,,,,,,,11,Aree Pedonali
43,"44.4955818188, 11.3355782127","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.336832019985984, 44.495651262413524], [11.336730845087605, 44.49559280283386], [11.33668684379869, 44.49559480284995], [11.336715639506913, 44.495624603768235], [11.336295243282107, 44.495605981117286], [11.33610386346665, 44.49559244054354], [11.335766084217099, 44.49556623100334], [11.335478809175633, 44.49550979885278], [11.334931793324916, 44.49550279804215], [11.334931793324916, 44.49550279804215], [11.33469532521987, 44.495519405599126], [11.33458517674758, 44.49550893005514], [11.33452978108506, 44.49560680090406], [11.334648784562955, 44.49560280090613], [11.334910459194997, 44.49559374878271], [11.334911418979386, 44.49556833263614], [11.335213801065246, 44.49558580097795], [11.335540810546517, 44.49558880142526], [11.33579681784564, 44.4956138024941], [11.336010823957304, 44.4956328033276], [11.336408835374277, 44.495658804581986], [11.336409835250167, 44.49568680547183], [11.33657183998227, 44.49568180548796], [11.336736844796064, 44.49567780553907], [11.33675884546239, 44.49567280540404], [11.336832019985984, 44.495651262413524]]]]}",,21,4000/343434,A,1142,1023,VIA DEL PRATELLO,958,VIA DEL PRATELLO,1000,VIA DEL PRATELLO,980,VIA DEL PRATELLO,4365,VIA DEL PRATELLO,,,,,12,Aree Pedonali
44,"44.4939274944, 11.3430987479","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.34246801598457, 44.4948407850661], [11.342961031129063, 44.494696781002865], [11.342976031982442, 44.49462277865986], [11.342936031619908, 44.49448077409058], [11.342882100049586, 44.49425282455691], [11.343055030309587, 44.49421326151497], [11.343037158454962, 44.494159613316796], [11.342861347663183, 44.49418315603429], [11.342797029955529, 44.49405876049133], [11.342797029955529, 44.49405876049133], [11.342966035018273, 44.49403275984092], [11.343154041032676, 44.49400474100057], [11.34359605594851, 44.49393766070866], [11.343641056530315, 44.49408865962621], [11.343479051057653, 44.49411568877851], [11.343496051309783, 44.4941676880369], [11.343546052204909, 44.49429368492586], [11.343570052605541, 44.49435868373317], [11.343645053496815, 44.494620683146806], [11.344049067094105, 44.49454661413047], [11.343979065022564, 44.49451262369734], [11.34396506491493, 44.49445562297057], [11.343900064479465, 44.49417861944105], [11.343879064246808, 44.494103619214705], [11.343802063657144, 44.4937826167437], [11.343790063544708, 44.49373561660853], [11.343718063019429, 44.493426615066866], [11.343667062652008, 44.49320461444862], [11.343530060915716, 44.492725620391276], [11.343439057760932, 44.49274363971411], [11.343435057621079, 44.49274464057023], [11.343444057659605, 44.49278964057632], [11.34345405800025, 44.49278863850715], [11.34346105800633, 44.49282763869776], [11.343458057900099, 44.49282863934477], [11.343466057910115, 44.492872639551436], [11.34347805831721, 44.49287163709896], [11.343485058316638, 44.49291163736619], [11.343481058177112, 44.49291263820797], [11.343490058219654, 44.492956638254235], [11.343503058659628, 44.4929556356254], [11.343511058691604, 44.49299563573097], [11.343506058518868, 44.49299663676368], [11.343514058521206, 44.493041637092084], [11.343526058927273, 44.49304063468505], [11.343533058930994, 44.49307963498056], [11.343529058797676, 44.49307963576519], [11.34353705879324, 44.49312563617558], [11.343550059232099, 44.493124633596025], [11.343552059039093, 44.493168635114486], [11.34356005904555, 44.49321263547841], [11.343570059384056, 44.49321163350363], [11.343581059460057, 44.493260633537474], [11.343545058234126, 44.493265640665484], [11.343543058208933, 44.493258640747015], [11.342838035064839, 44.493363738380665], [11.342840035066693, 44.4933737387015], [11.342798033816106, 44.49337873881704], [11.342774032965472, 44.493405739652594], [11.342688029921831, 44.49350174262267], [11.342352019811678, 44.49356074415141], [11.342283017584421, 44.493599745321966], [11.342361018138655, 44.49390475512337], [11.34238801894667, 44.49390075502431], [11.342429019081743, 44.49408876105886], [11.342442019111052, 44.49415076304849], [11.34245201909808, 44.49420476478004], [11.342465019054174, 44.49427976718401], [11.342475018900458, 44.49435876971235], [11.34246101842577, 44.49437077007991], [11.342329014485623, 44.49438877051343], [11.342429015267106, 44.49476678266608], [11.342445015749169, 44.49476378258756], [11.34246801598457, 44.4948407850661]]]]}",,40,4000/343434,A,13561,1246,PIAZZA MAGGIORE,1243,PIAZZA MAGGIORE,1267,VOLTONE DEL PODESTA',1270,VIA DE' PIGNATTARI,1284,PIAZZA DEL NETTUNO,1346,PIAZZA DEL NETTUNO,1248,PIAZZA DEL NETTUNO,14,Aree Pedonali
45,"44.4919141423, 11.3431374637","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.342797044893793, 44.49140967605496], [11.342852045299429, 44.49162168286753], [11.342908045857843, 44.49181168898045], [11.34295404631646, 44.491967693999946], [11.342985046620356, 44.49207369741052], [11.343036047110761, 44.4922497030733], [11.343147050875464, 44.492233682094316], [11.34318405217806, 44.49222367395997], [11.343178052091792, 44.49220267470188], [11.343292056012505, 44.492187650298945], [11.343328056459857, 44.49232564635756], [11.343314055976226, 44.49232764942166], [11.343326056137968, 44.49236964846505], [11.343335056447035, 44.492368646514734], [11.34334605659756, 44.492406645646504], [11.343337056282872, 44.49240864762768], [11.343351056481932, 44.492455646488224], [11.343361056824264, 44.49245464434459], [11.34336805683344, 44.492493644398316], [11.343365056726743, 44.49249464506623], [11.343373056740266, 44.49253864511768], [11.343385057149392, 44.4925376425754], [11.343392057151975, 44.492577642703694], [11.343388057011797, 44.49257864357398], [11.343396057024451, 44.49262264366407], [11.343409057472458, 44.49262064089765], [11.343416057468408, 44.49266164110156], [11.343413057367776, 44.49266164171877], [11.34342205739553, 44.49270864176577], [11.34343205773658, 44.49270763967855], [11.343439057760932, 44.49274363971411], [11.343530060915716, 44.492725620391276], [11.343516060752396, 44.49267362103826], [11.343521060925971, 44.49267261996825], [11.343514060832334, 44.49264862038652], [11.34336405869731, 44.49213863434741], [11.34315605574252, 44.49141065834954], [11.342797044893793, 44.49140967605496]]]]}",,75,4000/343434,A,3042,7557,VIA DELL'ARCHIGINNASIO,7559,PIAZZA GALVANI,,,,,,,,,,,16,Aree Pedonali
